Rk,Year,Date,G#,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Y/A,AY/A
1,2000,2000-11-23,12,23-112,NWE,@,DET,L 9-34,,1,3,33.33,6,0,0,42.4,0,2,2
2,2001,2001-09-23,2,24-051,NWE,,NYJ,L 3-10,,5,10,50,46,0,0,62.9,0,4.6,4.6
3,2001,2001-09-30,3,24-058,NWE,,IND,W 44-13,*,13,23,56.52,168,0,0,79.6,1,7.3,7.3
4,2001,2001-10-07,4,24-065,NWE,@,MIA,L 10-30,*,12,24,50,86,0,0,58.7,4,3.58,3.58
5,2001,2001-10-14,5,24-072,NWE,,SDG,W 29-26,*,33,54,61.11,364,2,0,93.4,3,6.74,7.48
6,2001,2001-10-21,6,24-079,NWE,@,IND,W 38-17,*,16,20,80,202,3,0,148.3,0,10.1,13.1
7,2001,2001-10-28,7,24-086,NWE,@,DEN,L 20-31,*,25,38,65.79,203,2,4,57.1,2,5.34,1.66
8,2001,2001-11-04,8,24-093,NWE,@,ATL,W 24-10,*,21,31,67.74,250,3,0,124.4,3,8.06,10
9,2001,2001-11-11,9,24-100,NWE,,BUF,W 21-11,*,15,21,71.43,107,1,1,78.9,7,5.1,3.9
10,2001,2001-11-18,10,24-107,NWE,,STL,L 17-24,*,19,27,70.37,185,1,2,70.8,2,6.85,4.26
11,2001,2001-11-25,11,24-114,NWE,,NOR,W 34-17,*,19,26,73.08,258,4,0,143.9,4,9.92,13
12,2001,2001-12-02,12,24-121,NWE,@,NYJ,W 17-16,*,20,28,71.43,213,0,0,93.3,3,7.61,7.61
13,2001,2001-12-09,13,24-128,NWE,,CLE,W 27-16,*,19,28,67.86,218,0,2,61.3,3,7.79,4.57
14,2001,2001-12-16,14,24-135,NWE,@,BUF,W 12-9,*,19,35,54.29,237,0,1,63.6,5,6.77,5.49
15,2001,2001-12-22,15,24-141,NWE,,MIA,W 20-13,*,11,19,57.89,108,1,0,91.6,3,5.68,6.74
16,2001,2002-01-06,16,24-156,NWE,@,CAR,W 38-6,*,17,29,58.62,198,1,2,62.1,1,6.83,4.41
17,2002,2002-09-09,1,25-037,NWE,,PIT,W 30-14,*,29,43,67.44,294,3,0,110,2,6.84,8.23
18,2002,2002-09-15,2,25-043,NWE,@,NYJ,W 44-7,*,25,35,71.43,269,2,1,100.8,0,7.69,7.54
19,2002,2002-09-22,3,25-050,NWE,,KAN,W 41-38,*,39,54,72.22,410,4,1,110.9,4,7.59,8.24
20,2002,2002-09-29,4,25-057,NWE,@,SDG,L 14-21,*,36,53,67.92,353,2,2,83.3,0,6.66,5.72
21,2002,2002-10-06,5,25-064,NWE,@,MIA,L 13-26,*,17,31,54.84,240,2,2,74.7,3,7.74,6.13
22,2002,2002-10-13,6,25-071,NWE,,GNB,L 10-28,*,24,44,54.55,183,1,3,44,2,4.16,1.55
23,2002,2002-10-27,7,25-085,NWE,,DEN,L 16-24,*,15,29,51.72,130,1,0,75.4,5,4.48,5.17
24,2002,2002-11-03,8,25-092,NWE,@,BUF,W 38-7,*,22,26,84.62,265,3,0,147.6,1,10.19,12.5
25,2002,2002-11-10,9,25-099,NWE,@,CHI,W 33-30,*,36,55,65.45,328,3,1,92.1,2,5.96,6.24
26,2002,2002-11-17,10,25-106,NWE,@,OAK,L 20-27,*,18,30,60,172,0,0,76,4,5.73,5.73
27,2002,2002-11-24,11,25-113,NWE,,MIN,W 24-17,*,21,34,61.76,239,3,0,112.3,2,7.03,8.79
